incident_id,date,location_id,category,description,status,customer_id,satisfaction_score,reporter_id
BRS-000001,2024-01-14,COL-07,CALIDAD_ALIMENTO,Porción servida menor a la estándar del menú,CERRADO,CLI-471507,5,MGR-01
BRS-000002,2024-01-04,COL-01,ABASTECIMIENTO,"Bajo stock de carbón para parrillas, pedido urgente enviado",DESCARTADO,CLI-777568,,MGR-06
BRS-000003,2024-01-08,COL-04,ABASTECIMIENTO,Proveedor de salsas no entregó el pedido semanal,ABIERTO,CLI-214576,,MGR-08
BRS-000004,2024-01-06,COL-05,QUEJA_CLIENTE,Queja por ruido excesivo en el área de mesas,CERRADO,,2,MGR-04
BRS-000005,2024-01-15,FLA-03,EQUIPAMIENTO,Lavaplatos industrial con fuga de agua detectada,ABIERTO,CLI-179046,,MGR-02
BRS-000006,2024-01-18,FLA-04,QUEJA_CLIENTE,Cliente insatisfecho con el tiempo de espera en mesa,CERRADO,,5,MGR-02
BRS-000007,2024-01-08,COL-03,QUEJA_CLIENTE,Reclamación por reserva no encontrada al llegar,CERRADO,CLI-989921,4,MGR-08
BRS-000008,2024-01-29,COL-01,CALIDAD_ALIMENTO,Cliente reporta alimento frío al momento de servir,ABIERTO,CLI-520521,,MGR-07
BRS-000009,2024-01-13,COL-05,QUEJA_CLIENTE,Queja por ruido excesivo en el área de mesas,CERRADO,,2,MGR-05
BRS-000010,2024-01-26,COL-09,ABASTECIMIENTO,Faltante de bebidas importadas en carta,CERRADO,CLI-865990,5,MGR-08
BRS-000011,2024-01-10,COL-04,ABASTECIMIENTO,Falta de carne de res para cortes del menú principal,ABIERTO,,,MGR-01
BRS-000012,2024-01-02,COL-10,QUEJA_CLIENTE,Queja por ruido excesivo en el área de mesas,ABIERTO,CLI-159942,,MGR-03
BRS-000013,2024-01-17,COL-02,ABASTECIMIENTO,Retraso en entrega de insumos de limpieza,ABIERTO,,,MGR-03
BRS-000014,2024-01-03,FLA-01,CALIDAD_ALIMENTO,Cliente reporta alimento frío al momento de servir,DESCARTADO,,,MGR-07
BRS-000015,2024-01-29,COL-10,ABASTECIMIENTO,Proveedor de salsas no entregó el pedido semanal,ABIERTO,,,MGR-01
BRS-000016,2024-01-22,COL-10,PERSONAL,Empleado no siguió protocolo de uniformidad,CERRADO,CLI-539589,2,MGR-06
BRS-000017,2024-01-22,FLA-02,ABASTECIMIENTO,Desabasto de envases para pedidos para llevar,ABIERTO,CLI-314181,,MGR-04
BRS-000018,2024-01-05,FLA-01,EQUIPAMIENTO,Sistema de música del local apagado sin respuesta,DESCARTADO,,,MGR-05
BRS-000019,2024-01-30,COL-02,ABASTECIMIENTO,Falta de carne de res para cortes del menú principal,ABIERTO,CLI-888387,,MGR-08
BRS-000020,2024-01-04,COL-02,EQUIPAMIENTO,Refrigerador de bebidas no enfría correctamente,ABIERTO,CLI-690341,,MGR-04
BRS-000021,2024-01-30,COL-06,ABASTECIMIENTO,Falta de carne de res para cortes del menú principal,ABIERTO,CLI-238890,,MGR-04
BRS-000022,2024-01-15,FLA-04,CALIDAD_ALIMENTO,Producto vencido detectado durante revisión de inventario,CERRADO,CLI-265409,3,MGR-05
BRS-000023,2024-01-21,COL-09,EQUIPAMIENTO,Falla en la parrilla principal de cocina,DESCARTADO,CLI-946305,,MGR-05
BRS-000024,2024-01-31,COL-03,EQUIPAMIENTO,Terminal POS con error al procesar pagos con tarjeta,CERRADO,CLI-208618,5,MGR-02
BRS-000025,2024-01-18,COL-03,CALIDAD_ALIMENTO,Salsa de la casa con sabor diferente al habitual,CERRADO,CLI-878480,3,MGR-05
BRS-000026,2024-01-11,COL-04,ABASTECIMIENTO,Faltante de bebidas importadas en carta,CERRADO,CLI-852470,2,MGR-05
BRS-000027,2024-01-29,FLA-04,PERSONAL,Empleado llegó tarde al turno de apertura,CERRADO,CLI-363319,1,MGR-02
BRS-000028,2024-01-09,COL-01,QUEJA_CLIENTE,Cliente insatisfecho con el tiempo de espera en mesa,ABIERTO,CLI-969634,,MGR-06
BRS-000029,2024-01-09,COL-03,EQUIPAMIENTO,Sistema de música del local apagado sin respuesta,CERRADO,CLI-768061,4,MGR-08
BRS-000030,2024-01-18,COL-01,CALIDAD_ALIMENTO,Carne servida en término incorrecto según pedido,CERRADO,CLI-548462,4,MGR-02
BRS-000031,2024-01-29,COL-03,CALIDAD_ALIMENTO,Producto vencido detectado durante revisión de inventario,ABIERTO,CLI-824586,,MGR-01
BRS-000032,2024-01-18,COL-03,ABASTECIMIENTO,"Bajo stock de carbón para parrillas, pedido urgente enviado",ABIERTO,CLI-710805,,MGR-03
BRS-000033,2024-01-12,FLA-03,EQUIPAMIENTO,Lavaplatos industrial con fuga de agua detectada,CERRADO,,4,MGR-01
BRS-000034,2024-01-22,COL-04,EQUIPAMIENTO,Sistema de música del local apagado sin respuesta,CERRADO,CLI-320281,4,MGR-02
BRS-000035,2024-01-29,FLA-04,PERSONAL,Queja de cliente sobre comportamiento de mesero,CERRADO,CLI-687080,5,MGR-03
BRS-000036,2024-01-28,COL-03,ABASTECIMIENTO,Retraso en entrega de insumos de limpieza,CERRADO,CLI-348237,3,MGR-03
BRS-000037,2024-01-06,FLA-02,CALIDAD_ALIMENTO,Salsa de la casa con sabor diferente al habitual,CERRADO,CLI-125990,4,MGR-07
BRS-000038,2024-01-26,COL-04,QUEJA_CLIENTE,Queja por temperatura inadecuada del local,CERRADO,CLI-870763,4,MGR-03
BRS-000039,2024-01-13,FLA-04,EQUIPAMIENTO,Falla en la parrilla principal de cocina,CERRADO,CLI-213346,4,MGR-08
BRS-000040,2024-01-27,COL-08,QUEJA_CLIENTE,Cliente informa que su pedido tardó más de 40 minutos,CERRADO,,4,MGR-05
BRS-000041,2024-01-08,COL-01,EQUIPAMIENTO,Sistema de música del local apagado sin respuesta,CERRADO,CLI-338651,3,MGR-04
BRS-000042,2024-01-28,COL-02,EQUIPAMIENTO,Lavaplatos industrial con fuga de agua detectada,ABIERTO,CLI-392136,,MGR-05
BRS-000043,2024-01-13,FLA-01,QUEJA_CLIENTE,Cliente informa que su pedido tardó más de 40 minutos,DESCARTADO,CLI-634150,,MGR-01
BRS-000044,2024-01-08,,QUEJA_CLIENTE,Cliente insatisfecho con el servicio recibido,ABIERTO,,,MGR-03
BRS-000045,2024-01-09,COL-03,CALIDAD_ALIMENTO,Producto vencido detectado durante revisión de inventario,DESCARTADO,,,MGR-05
BRS-000046,2024-01-20,COL-07,CALIDAD_ALIMENTO,Salsa de la casa con sabor diferente al habitual,CERRADO,,4,MGR-06
BRS-000047,2024-01-04,COL-07,ABASTECIMIENTO,No se recibió el pedido de vegetales frescos del día,ABIERTO,CLI-636265,,MGR-04
BRS-000048,2024-01-23,COL-07,QUEJA_CLIENTE,Cliente insatisfecho con el tiempo de espera en mesa,CERRADO,,1,MGR-04
BRS-000049,2024-01-25,COL-03,,Incidencia sin categorizar reportada por supervisor,ABIERTO,,,MGR-05
BRS-000050,2024-01-31,FLA-01,EQUIPAMIENTO,Terminal POS con error al procesar pagos con tarjeta,DESCARTADO,CLI-173372,,MGR-06
BRS-000051,2024-01-24,COL-05,CALIDAD_ALIMENTO,Producto vencido detectado durante revisión de inventario,CERRADO,CLI-230679,1,MGR-05
BRS-000052,2024-01-13,FLA-02,ABASTECIMIENTO,Desabasto de envases para pedidos para llevar,CERRADO,CLI-442027,4,MGR-03
BRS-000053,2024-01-22,COL-07,QUEJA_CLIENTE,Cliente reporta error en la cuenta cobrada,CERRADO,,4,MGR-05
BRS-000054,2024-01-01,COL-05,QUEJA_CLIENTE,Queja por temperatura inadecuada del local,ABIERTO,CLI-974224,,MGR-04
BRS-000055,2024-01-20,FLA-01,EQUIPAMIENTO,Terminal POS con error al procesar pagos con tarjeta,CERRADO,CLI-708158,4,MGR-08
BRS-000056,2024-01-07,COL-09,ABASTECIMIENTO,"Bajo stock de carbón para parrillas, pedido urgente enviado",CERRADO,CLI-808446,3,MGR-03
BRS-000057,2024-01-17,FLA-01,QUEJA_CLIENTE,Cliente informa que su pedido tardó más de 40 minutos,ABIERTO,CLI-397571,,MGR-02
BRS-000058,2024-01-08,FLA-01,ABASTECIMIENTO,Desabasto de envases para pedidos para llevar,CERRADO,CLI-887625,3,MGR-04
BRS-000059,2024-01-01,COL-01,QUEJA_CLIENTE,Solicitud de devolución por pedido incorrecto entregado,CERRADO,CLI-254511,1,MGR-08
BRS-000060,2024-01-03,COL-08,QUEJA_CLIENTE,Reclamación por reserva no encontrada al llegar,ABIERTO,CLI-905819,,MGR-04
BRS-000061,2024-01-16,COL-07,QUEJA_CLIENTE,Solicitud de devolución por pedido incorrecto entregado,CERRADO,CLI-502630,3,MGR-03
BRS-000062,2024-01-29,FLA-03,QUEJA_CLIENTE,Queja por trato irrespetuoso del personal de sala,ABIERTO,CLI-105814,,MGR-07
BRS-000063,2024-01-26,FLA-02,ABASTECIMIENTO,No se recibió el pedido de vegetales frescos del día,CERRADO,,2,MGR-08
BRS-000064,2024-01-08,FLA-04,ABASTECIMIENTO,Falta de carne de res para cortes del menú principal,CERRADO,,3,MGR-08
BRS-000065,2024-01-15,FLA-01,PERSONAL,Empleado no siguió protocolo de uniformidad,ABIERTO,,,MGR-06
BRS-000066,2024-01-20,FLA-04,QUEJA_CLIENTE,Reclamación por reserva no encontrada al llegar,ABIERTO,CLI-564071,,MGR-08
